"Image","Cells","Conversion","Organoid","Cell","Sheath.length","Sheath.type","Sheath.number","Bridge.length","Cell.type","CellID","OrgID","Sheaths.percell","Tot.length"
"Image15","Cso2","Conv_2","Org_2","Cell_2",51.385,"Regular",1,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",77.354,"Regular",2,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",85.481,"Regular",3,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",170.727,"Regular",4,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",30.944,"Regular",5,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",81.981,"Regular",6,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",74.589,"Regular",7,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",118.915,"Regular",8,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",135.285,"Regular",9,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",103.006,"Regular",10,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image15","Cso2","Conv_2","Org_2","Cell_2",107.94,"Regular",11,NA,"OLs without bridges","Cso2.Conv_2.Org_2.Cell_2","Cso2.Conv_2.Org_2",11,1037.607
"Image18","SHEF4","Conv_3","Org_1","Cell_1",26.367,"Regular",1,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",101.032,"Anchored",2,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",124.943,"Bridged",3,15.046,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",79.064,"Regular",4,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",59.284,"Regular",5,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",140.276,"Regular",6,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",19.514,"Regular",7,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",111.48,"Regular",8,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",26.906,"Regular",9,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",69.739,"Regular",10,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",130.865,"Regular",11,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",125.242,"Regular",12,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",24.706,"Regular",13,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",76.269,"Anchored",14,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",94.449,"Bridged",15,43.042,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",99.571,"Anchored",16,NA,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
"Image18","SHEF4","Conv_3","Org_1","Cell_1",116.376,"Bridged",17,3.206,"OLs with bridges","SHEF4.Conv_3.Org_1.Cell_1","SHEF4.Conv_3.Org_1",20,1711.174
