"Image","Cells","Conversion","Organoid","OrgID","CellID","Cell.type","Mean.sheathlength","Bridge.length","Mean.Sheaths.percell","Tot.length"
"Image25","Cso2","Conv_2","Org_1","Cso2.Conv_2.Org_1","Cso2.Conv_2.Org_1.Cell_4","OLs without bridges",120.1088,NA,5,600.544
"Image26","SHEF4","Conv_10","Org_1","SHEF4.Conv_10.Org_1","SHEF4.Conv_10.Org_1.Cell_1","OLs with bridges",35.79,11.599,15,536.85
"Image27","SHEF4","Conv_10","Org_1","SHEF4.Conv_10.Org_1","SHEF4.Conv_10.Org_1.Cell_3","OLs with bridges",84.7555454545455,2.64966666666667,11,932.311
"Image27","SHEF4","Conv_10","Org_1","SHEF4.Conv_10.Org_1","SHEF4.Conv_10.Org_1.Cell_4","OLs without bridges",105.3104,NA,5,526.552
"Image3","Cso2","Conv_4","Org_2","Cso2.Conv_4.Org_2","Cso2.Conv_4.Org_2.Cell_1","OLs with bridges",115.1825,47.243,6,691.095
"Image3","Cso2","Conv_4","Org_2","Cso2.Conv_4.Org_2","Cso2.Conv_4.Org_2.Cell_2","OLs without bridges",132.024166666667,NA,6,792.145
"Image4","Cso2","Conv_4","Org_1","Cso2.Conv_4.Org_1","Cso2.Conv_4.Org_1.Cell_1","OLs with bridges",94.8033333333333,3.449,6,568.82
"Image4","Cso2","Conv_4","Org_1","Cso2.Conv_4.Org_1","Cso2.Conv_4.Org_1.Cell_2","OLs without bridges",139.733714285714,NA,7,978.136
"Image4","Cso2","Conv_4","Org_1","Cso2.Conv_4.Org_1","Cso2.Conv_4.Org_1.Cell_3","OLs without bridges",124.989857142857,NA,7,874.929
"Image5","Cso2","Conv_5","Org_1","Cso2.Conv_5.Org_1","Cso2.Conv_5.Org_1.Cell_1","OLs with bridges",132.140125,2.2215,8,1057.121
"Image5","Cso2","Conv_5","Org_1","Cso2.Conv_5.Org_1","Cso2.Conv_5.Org_1.Cell_2","OLs with bridges",107.971111111111,41.856,9,971.74
"Image6","Cso2","Conv_6","Org_1","Cso2.Conv_6.Org_1","Cso2.Conv_6.Org_1.Cell_1","OLs with bridges",72.6396363636364,1.712,11,799.036
"Image6","Cso2","Conv_6","Org_1","Cso2.Conv_6.Org_1","Cso2.Conv_6.Org_1.Cell_2","OLs with bridges",91.7645,14.559,14,1284.703
"Image6","Cso2","Conv_6","Org_1","Cso2.Conv_6.Org_1","Cso2.Conv_6.Org_1.Cell_3","OLs with bridges",142.880375,3.111,8,1143.043
"Image6","Cso2","Conv_6","Org_1","Cso2.Conv_6.Org_1","Cso2.Conv_6.Org_1.Cell_4","OLs without bridges",90.8844545454545,NA,11,999.729
"Image6","Cso2","Conv_6","Org_1","Cso2.Conv_6.Org_1","Cso2.Conv_6.Org_1.Cell_5","OLs with bridges",101.572666666667,45.347,12,1218.872
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_1","OLs without bridges",128.81825,NA,8,1030.546
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_2","OLs without bridges",124.2268,NA,5,621.134
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_3","OLs with bridges",148.117461538462,5.2365,13,1925.527
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_4","OLs with bridges",143.727285714286,3.258,7,1006.091
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_5","OLs without bridges",153.10975,NA,8,1224.878
"Image7","Cso2","Conv_6","Org_3","Cso2.Conv_6.Org_3","Cso2.Conv_6.Org_3.Cell_6","OLs with bridges",89.7035714285714,5.74633333333333,14,1255.85
"Image8","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_1","OLs with bridges",147.811666666667,6.371,6,886.87
"Image9","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_2","OLs with bridges",104.352857142857,3.284,7,730.47
"Image9","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_3","OLs without bridges",136.614090909091,NA,11,1502.755
"Image9","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_4","OLs with bridges",148.46425,21.324,8,1187.714
"Image9","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_5","OLs without bridges",133.631777777778,NA,9,1202.686
"Image9","Cso2","Conv_6","Org_4","Cso2.Conv_6.Org_4","Cso2.Conv_6.Org_4.Cell_6","OLs with bridges",120.79325,1.62,8,966.346
