Image,Cells,Conversion,Organoid,Cell,Length,sheath.type,Number,Bridge.length,Chain.length,Cell.type,CellID,OrgID,FREQ.SHEATH,Tot.length
Image14,Cso2,Conv_2,Org_2,Cell_1,58.118,Non-Bridged sheaths sheaths,7,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,30.552,Non-Bridged sheaths sheaths,8,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,42.574,Anchoring sheaths,9,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,8.955,Bridged sheaths,10,5.36,51.529,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,5.36,Bridge,,,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,51.529,Chain,,,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,53.367,Non-Bridged sheaths sheaths,11,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image14,Cso2,Conv_2,Org_2,Cell_1,7.527,Non-Bridged sheaths sheaths,12,NA,,OLs with bridges,Cso2.Conv_2.Org_2.Cell_1,Cso2.Conv_2.Org_2,12,682.133
Image15,Cso2,Conv_2,Org_2,Cell_2,51.385,Non-Bridged sheaths sheaths,1,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,77.354,Non-Bridged sheaths sheaths,2,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,85.481,Non-Bridged sheaths sheaths,3,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,170.727,Non-Bridged sheaths sheaths,4,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,30.944,Non-Bridged sheaths sheaths,5,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,81.981,Non-Bridged sheaths sheaths,6,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,74.589,Non-Bridged sheaths sheaths,7,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,118.915,Non-Bridged sheaths sheaths,8,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,135.285,Non-Bridged sheaths sheaths,9,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,103.006,Non-Bridged sheaths sheaths,10,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image15,Cso2,Conv_2,Org_2,Cell_2,107.94,Non-Bridged sheaths sheaths,11,NA,,OLs without bridges,Cso2.Conv_2.Org_2.Cell_2,Cso2.Conv_2.Org_2,11,1037.607
Image18,SHEF4,Conv_3,Org_1,Cell_1,26.367,Non-Bridged sheaths sheaths,1,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,101.032,Anchoring sheaths,2,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,124.943,Bridged sheaths,3,15.046,225.975,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,15.046,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,225.975,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,79.064,Non-Bridged sheaths sheaths,4,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,59.284,Non-Bridged sheaths sheaths,5,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,140.276,Non-Bridged sheaths sheaths,6,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,19.514,Non-Bridged sheaths sheaths,7,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,111.48,Non-Bridged sheaths sheaths,8,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,26.906,Non-Bridged sheaths sheaths,9,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,69.739,Non-Bridged sheaths sheaths,10,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,130.865,Non-Bridged sheaths sheaths,11,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,125.242,Non-Bridged sheaths sheaths,12,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,24.706,Non-Bridged sheaths sheaths,13,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,76.269,Anchoring sheaths,14,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,94.449,Bridged sheaths,15,43.042,170.718,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,43.042,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,170.718,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,99.571,Anchoring sheaths,16,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,116.376,Bridged sheaths,17,3.206,215.947,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,3.206,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,215.947,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,24.149,Non-Bridged sheaths sheaths,18,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,238.92,Non-Bridged sheaths sheaths,19,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image18,SHEF4,Conv_3,Org_1,Cell_1,22.022,Non-Bridged sheaths sheaths,20,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_1,SHEF4.Conv_3.Org_1,20,1711.174
Image19,SHEF4,Conv_3,Org_1,Cell_2,101.774,Anchoring sheaths,1,NA,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,116.285,Bridged sheaths,2,5.535,218.059,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,5.535,Bridge,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
Image19,SHEF4,Conv_3,Org_1,Cell_2,218.059,Chain,,,,OLs with bridges,SHEF4.Conv_3.Org_1.Cell_2,SHEF4.Conv_3.Org_1,18,1780.154
