458
214
0.219780 0.571429 0.000000 81.725145
0.221306 0.564452 0.008352 81.722662
0.222296 0.557275 0.016615 80.185247
0.223109 0.549924 0.024742 78.400974
0.223947 0.542409 0.032716 77.136479
0.224868 0.534780 0.040572 75.552224
0.225860 0.527082 0.048350 73.417489
0.226978 0.519301 0.056029 70.837080
0.228274 0.511447 0.063605 67.710449
0.229861 0.503563 0.071094 65.081841
0.231911 0.495726 0.078519 67.178408
0.234543 0.488110 0.085992 79.192400
0.237911 0.480997 0.093661 81.757334
0.241293 0.473778 0.101224 74.546618
0.244044 0.466161 0.108652 72.773394
0.247070 0.458680 0.116111 77.621986
0.250684 0.451605 0.123703 81.978924
0.254740 0.444833 0.131349 77.724630
0.258750 0.437845 0.138821 79.067734
0.262708 0.430870 0.146334 84.132502
0.267103 0.424322 0.153987 81.043383
0.271326 0.417701 0.161673 79.252081
0.275521 0.411052 0.169352 83.315658
0.280179 0.404776 0.177076 83.230791
0.284950 0.398636 0.184841 83.223499
0.289689 0.392493 0.192624 84.205472
0.294552 0.386516 0.200459 83.515531
0.299495 0.380657 0.208332 83.491695
0.304573 0.374964 0.216242 83.800723
0.309843 0.369505 0.224191 82.894613
0.315241 0.364243 0.232187 82.489779
0.320779 0.359198 0.240226 82.615902
0.326506 0.354414 0.248293 82.717716
0.332411 0.349866 0.256369 82.914876
0.338487 0.345567 0.264453 83.149139
0.344702 0.341531 0.272567 83.472353
0.351039 0.337796 0.280731 83.860535
0.357484 0.334389 0.288954 84.410932
0.364019 0.331294 0.297229 85.086757
0.370624 0.328496 0.305554 85.909324
0.377282 0.325992 0.313930 86.943104
0.383979 0.323779 0.322357 88.145547
0.390702 0.321842 0.330831 89.355612
0.397438 0.320159 0.339348 90.641960
0.404176 0.318719 0.347909 91.963800
0.410900 0.317517 0.356517 93.325703
0.417599 0.316540 0.365173 94.728308
0.424263 0.315769 0.373877 96.090977
0.430881 0.315177 0.382630 97.452099
0.437444 0.314759 0.391434 98.936817
0.443948 0.314504 0.400288 100.532501
0.450385 0.314383 0.409193 102.205314
0.456748 0.314371 0.418153 103.890063
0.463032 0.314453 0.427167 105.740814
0.469240 0.314618 0.436233 107.677480
0.475379 0.314839 0.445345 109.468937
0.481453 0.315088 0.454499 110.957344
0.487463 0.315362 0.463695 112.200640
0.493407 0.315689 0.472932 113.423853
0.499280 0.316089 0.482211 114.631130
0.505075 0.316565 0.491536 115.879884
0.510786 0.317114 0.500909 117.260427
0.516408 0.317736 0.510330 119.029396
0.521940 0.318422 0.519800 121.239934
0.527386 0.319145 0.529318 123.724293
0.532756 0.319864 0.538878 126.198055
0.538071 0.320547 0.548472 128.429637
0.543360 0.321183 0.558083 130.407636
0.548636 0.321779 0.567704 131.944391
0.553888 0.322336 0.577341 132.996993
0.559082 0.322886 0.587009 134.195696
0.564191 0.323464 0.596722 135.818950
0.569207 0.324069 0.606480 137.519428
0.574147 0.324651 0.616279 138.888683
0.579029 0.325182 0.626110 139.852074
0.583869 0.325651 0.635964 140.539726
0.588678 0.326064 0.645836 141.034986
0.593460 0.326423 0.655724 141.418044
0.598218 0.326732 0.665625 141.642542
0.602953 0.326995 0.675538 141.767871
0.607668 0.327213 0.685461 141.754418
0.612366 0.327391 0.695394 141.613709
0.617051 0.327534 0.705333 141.376552
0.621730 0.327649 0.715276 141.133555
0.626409 0.327746 0.725219 140.991654
0.631089 0.327835 0.735161 141.003299
0.635763 0.327920 0.745106 141.200008
0.640418 0.327994 0.755059 141.397104
0.645042 0.328040 0.765028 141.335468
0.649627 0.328043 0.775015 140.915764
0.654174 0.327998 0.785019 140.309592
0.658691 0.327919 0.795037 139.662035
0.663188 0.327810 0.805063 139.095907
0.667680 0.327678 0.815091 138.549060
0.672175 0.327528 0.825117 138.049580
0.676681 0.327364 0.835139 137.644254
0.681196 0.327196 0.845156 137.478553
0.685721 0.327030 0.855169 137.664582
0.690255 0.326863 0.865178 137.962242
0.694801 0.326684 0.875181 138.320628
0.699362 0.326482 0.885176 138.690178
0.703941 0.326249 0.895163 138.963994
0.708544 0.325968 0.905138 139.063787
0.713175 0.325628 0.915097 138.864054
0.717837 0.325222 0.925040 138.440469
0.722532 0.324748 0.934964 137.838276
0.727265 0.324210 0.944867 137.092838
0.732041 0.323609 0.954746 136.219971
0.736871 0.322952 0.964595 135.241386
0.741764 0.322241 0.974409 134.240917
0.746730 0.321477 0.984182 133.072910
0.751771 0.320661 0.993912 131.726964
0.756884 0.319792 1.003600 130.176924
0.762061 0.318878 1.013250 128.516702
0.767297 0.317927 1.022865 126.919750
0.772588 0.316945 1.032446 125.450534
0.777942 0.315929 1.041988 123.901602
0.783366 0.314870 1.051487 122.131003
0.788866 0.313760 1.060935 120.162657
0.794445 0.312602 1.070332 118.080593
0.800102 0.311398 1.079675 115.959681
0.805838 0.310153 1.088966 113.812064
0.811652 0.308867 1.098202 111.683733
0.817547 0.307542 1.107380 109.572915
0.823525 0.306178 1.116500 107.434576
0.829588 0.304774 1.125557 105.278487
0.835738 0.303332 1.134548 103.149657
0.841977 0.301855 1.143473 101.032046
0.848305 0.300343 1.152329 98.970755
0.854720 0.298797 1.161117 96.908500
0.861218 0.297216 1.169837 94.835067
0.867798 0.295603 1.178489 92.765994
0.874459 0.293961 1.187074 90.732730
0.881200 0.292295 1.195591 88.839864
0.888017 0.290606 1.204042 87.038163
0.894907 0.288892 1.212429 85.267066
0.901865 0.287148 1.220755 83.491498
0.908882 0.285370 1.229022 81.647363
0.915955 0.283556 1.237235 79.767789
0.923079 0.281714 1.245396 77.875072
0.930252 0.279852 1.253511 76.031104
0.937471 0.277986 1.261583 74.354868
0.944733 0.276127 1.269618 72.834441
0.952033 0.274284 1.277623 71.440573
0.959366 0.272464 1.285602 70.175817
0.966726 0.270673 1.293563 69.095316
0.974109 0.268918 1.301512 68.150974
0.981508 0.267205 1.309454 67.361492
0.988918 0.265538 1.317395 66.753477
0.996334 0.263921 1.325342 66.299386
1.003753 0.262350 1.333295 65.941542
1.011170 0.260822 1.341258 65.668559
1.018583 0.259336 1.349232 65.454956
1.025994 0.257887 1.357217 65.277938
1.033401 0.256477 1.365211 65.126872
1.040805 0.255106 1.373214 64.976195
1.048208 0.253777 1.381226 64.839709
1.055612 0.252494 1.389244 64.711539
1.063019 0.251263 1.397268 64.565814
1.070430 0.250090 1.405297 64.434360
1.077846 0.248982 1.413330 64.326639
1.085269 0.247950 1.421367 64.230373
1.092699 0.247000 1.429408 64.164130
1.100135 0.246144 1.437453 64.140954
1.107580 0.245391 1.445501 64.151831
1.115030 0.244750 1.453553 64.212186
1.122486 0.244231 1.461609 64.339666
1.129944 0.243842 1.469670 64.523591
1.137404 0.243592 1.477736 64.776313
1.144862 0.243490 1.485805 65.119355
1.152316 0.243541 1.493879 65.547717
1.159763 0.243754 1.501958 66.059730
1.167199 0.244133 1.510040 66.685994
1.174620 0.244684 1.518126 67.425407
1.182024 0.245410 1.526214 68.270254
1.189407 0.246315 1.534303 69.248919
1.196765 0.247400 1.542393 70.366708
1.204096 0.248665 1.550480 71.614798
1.211395 0.250112 1.558566 73.021420
1.218662 0.251740 1.566648 74.586835
1.225893 0.253546 1.574723 76.305559
1.233087 0.255527 1.582790 78.224251
1.240241 0.257678 1.590849 80.314591
1.247356 0.259995 1.598897 82.585630
1.254430 0.262474 1.606932 85.093187
1.261464 0.265109 1.614954 87.808911
1.268457 0.267893 1.622961 90.725760
1.275411 0.270816 1.630951 93.925628
1.282327 0.273874 1.638925 97.353151
1.289206 0.277058 1.646881 101.048511
1.296050 0.280357 1.654820 105.036384
1.302865 0.283761 1.662741 109.280941
1.309649 0.287262 1.670645 113.885825
1.316408 0.290847 1.678533 118.723184
1.323149 0.294501 1.686405 123.887452
1.329874 0.298215 1.694262 129.436338
1.336589 0.301972 1.702108 135.136744
1.343301 0.305752 1.709945 141.182129
1.350016 0.309540 1.717775 147.447132
1.356743 0.313313 1.725603 153.798952
1.363488 0.317044 1.733435 160.332459
1.370263 0.320707 1.741273 166.652215
1.377074 0.324267 1.749128 172.714072
1.383930 0.327686 1.757006 178.537498
1.390837 0.330920 1.764917 183.499272
1.397798 0.333913 1.772877 187.243205
1.404809 0.336611 1.780897 189.806575
1.411860 0.338949 1.788995 190.567779
1.418923 0.340848 1.797196 189.329094
1.425946 0.342252 1.805531 185.125411
1.432855 0.343146 1.814030 178.242896
1.439546 0.343571 1.822736 171.247865
1.445859 0.343710 1.831730 167.690071
1.451943 0.343886 1.840879 157.675024
213
0.219780 0.527473 0.000000 98.939036
0.222527 0.521883 0.009053 91.261916
0.224149 0.515675 0.017975 84.911937
0.225528 0.509146 0.026705 78.608018
0.227016 0.502378 0.035234 71.342668
0.228776 0.495477 0.043603 66.977735
0.231028 0.488599 0.051872 83.885877
0.234416 0.481970 0.059956 91.528775
0.238005 0.475382 0.067985 84.074684
0.240428 0.468309 0.076039 75.296570
0.242647 0.461071 0.084004 73.111167
0.245374 0.453893 0.091865 86.292686
0.249139 0.447239 0.099758 85.200146
0.252578 0.440457 0.107692 75.610743
0.255308 0.433387 0.115649 75.219567
0.258508 0.426484 0.123578 81.435409
0.262276 0.419894 0.131524 83.789885
0.266568 0.413531 0.139388 79.487513
0.270306 0.406955 0.147360 81.588078
0.274164 0.400503 0.155375 83.981402
0.278374 0.394294 0.163405 81.350162
0.282977 0.388219 0.171321 82.685233
0.287497 0.382243 0.179359 85.179878
0.292242 0.376487 0.187428 83.981011
0.297177 0.370804 0.195436 85.534276
0.302175 0.365323 0.203543 84.931206
0.307262 0.360036 0.211724 83.440240
0.312419 0.354875 0.219941 83.120905
0.317721 0.349896 0.228179 82.986353
0.323207 0.345163 0.236441 83.223643
0.328843 0.340636 0.244718 82.943346
0.334632 0.336286 0.252984 83.184273
0.340549 0.332141 0.261263 83.453473
0.346585 0.328243 0.269579 83.939880
0.352765 0.324685 0.277940 84.597705
0.359077 0.321487 0.286347 85.359326
0.365477 0.318574 0.294792 86.072379
0.371945 0.315934 0.303274 87.093028
0.378470 0.313593 0.311801 88.394837
0.385040 0.311546 0.320369 89.809688
0.391648 0.309775 0.328969 91.193782
0.398274 0.308237 0.337599 92.601104
